#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
9.76, -0.026039385, 9.885045403, 294.0580006, -4.02, -0.755652827, -3.798998957, 293.4610271, 4.668, 0.279039036, 7.102740722, 293.2326613, -5.24, -1.587985117, -10.68118049, 293.2073638, 80, 0.079001352, 53.60378888, 293.1530522
10.004, 0.24977251, 9.976006138, 294.0469593, -3.776, -0.794845511, -3.349152209, 293.4698463, 4.912, 0.171245865, 8.07728191, 293.3602651, -4.996, -1.614910852, -10.49985612, 293.2157622, 82, 0.096744034, 54.63791295, 293.153074
10.248, 0.508370675, 10.06696687, 294.0364829, -3.532, -0.83244894, -2.899305462, 293.4837578, 5.156, 0.056556041, 8.773715812, 293.4899147, -4.752, -1.609074364, -10.31853175, 293.2257463, 84, 0.118035253, 55.56795127, 293.1530861
10.492, 0.743172786, 10.14883154, 294.0276316, -3.288, -0.866613189, -2.49444339, 293.4974339, 5.4, -0.06375102, 9.28994117, 293.6014121, -4.508, -1.571051858, -10.13720738, 293.2369914, 86, 0.143435303, 56.49798958, 293.1530915
10.736, 0.948333635, 10.2306962, 294.0194399, -3.044, -0.895736804, -2.130067525, 293.5096428, 5.644, -0.188592916, 9.702126732, 293.6947497, -4.264, -1.502398523, -9.774558634, 293.2605452, 88, 0.172197124, 57.4280279, 293.1530911
10.98, 1.11881834, 10.33355978, 294.0104056, -2.8, -0.918383544, -1.802129246, 293.5197454, 5.888, -0.316896277, 10.04510767, 293.7710571, -4.02, -1.405514792, -9.41190989, 293.2835401, 90, 0.203200126, 59.28810454, 293.1530774
11.224, 1.250540964, 10.426137, 294.003311, -2.556, -0.933429911, -1.474190968, 293.5282359, 6.132, -0.447760797, 10.35379052, 293.8344835, -3.776, -1.283621127, -9.049261145, 293.3021302, 92, 0.234576658, 61.14818118, 293.153051
11.468, 1.340465503, 10.61129144, 293.9939556, -2.312, -0.940003611, -1.179046517, 293.5341897, 6.376, -0.580321707, 10.62609254, 293.883454, -3.532, -1.140696209, -8.686612401, 293.3132507, 94, 0.26333848, 62.41730327, 293.1530289
11.712, 1.386567805, 10.75944029, 293.9897176, -2.068, -0.937627641, -0.883902066, 293.5382595, 6.62, -0.71381415, 10.87116435, 293.9197417, -3.288, -0.981332323, -8.323963657, 293.3156252, 96, 0.28687088, 63.15771407, 293.1530167
11.956, 1.387926437, 10.90758914, 293.9886073, -1.824, -0.926184413, -0.588757615, 293.5404014, 6.864, -0.847452734, 11.11623616, 293.9464148, -3.044, -0.810581434, -8.01066181, 293.3112429, 98, 0.30050473, 63.82408379, 293.1530064
